,id_sonde,lib_sonde,reseau_perenne,lat_wgs84,lon_wgs84,x_lamb93,y_lamb93
0,104,Monne,1,"48,94737","0,12035","489124,15","6875779,48"
1,109,Barge,1,"48,78573","0,14458","490247,91","6857753,06"
2,771,Ving Bec,1,"48,99503","-0,51358","442965,3","6882953,55"
3,813,Odon T2,0,"49,02515","-0,63738","434069,3","6886709,75"
4,815,Odon T4,0,"49,1299","-0,49936","444669,4","6897892,38"
5,816,Odon T5,0,"49,16432","-0,40768","451519,78","6901424,63"
6,817,Orne T1,0,"48,90405","-0,45678","446675,03","6872662,46"
7,818,Orne T3,0,"49,06559","-0,44836","448075,96","6890582,92"
8,819,Orne T2,0,"48,954","-0,49872","443849,55","6878346,93"
9,820,Selune T4,0,"48,59732","-1,27502","384919,05","6841544,22"
10,821,Selune T2,0,"48,58291","-1,23391","387860,2","6839781,32"
11,823,Selune T5,0,"48,60056","-1,2899","383842,99","6841963,36"
12,824,Selune T1,0,"48,57498","-1,1172","396410,64","6838445,94"
13,825,Touques T1,0,"48,78053","0,29682","501406,8","6856781,6"
14,827,Touques T3,1,"48,94711","0,26798","499929,62","6875366,42"
15,828,Touques T4,0,"49,05705","0,25253","499223,97","6887624,71"
16,830,Touques T6,0,"49,30378","0,14921","492667,49","6915318,1"
